Source ID,Source Name,Latitude (N),"Longitude (W, 360)",JIRAM Detections by Orbit,Max Spectral Radiance (GW/µm),Max Unsaturated Spectral Radiance (GW/µm),Average Unsaturated Spectral Radiance (GW/µm),Min Unsaturated Spectral Radiance (GW/µm),Earlier Detections,Notes
JRM001,Nusku Patera,-63.3,3.9,"5, 9, 10, 25o, 27o, 32o, 35, 37o",0.736074893,0.736074893,0.474187629,0.363464739,"NIMS, deKleer2019",
JRM002,,14.7,4.4,"5, 9, 11, 17, 20, 26, 41",0.782914073,0.782914073,0.228340737,0.046816974,NIMS,
JRM003,Mbali Patera,-33.6,5.5,"5, 9 , 20, 32o",0.986851515,0.986851515,0.204113874,0.056932884,NIMS,
JRM004,PV179,-11.9,6.9,"5, 17, 18, 20, 26, 27i, 27o, 32o, 41",11.34754422,5.741739244,1.143022563,0.299197911,"NIMS, Cantrall2018",
JRM005,,12.8,11.7,17,0.053210624,0.053210624,0.053210624,0.053210624,,
JRM006,Gauwa Patera,35.6,11.9,"5, 9, 11, 17, 18, 20, 24, 25i, 26, 27i, 41, 43",1.86425895,1.86425895,0.622847761,0.261631815,LEISA,Name approved by IAU Mar 2023
JRM007,PV187,-3.1,12.4,20,0.078593442,0.078593442,0.078593442,0.078593442,NIMS,
JRM008,Ukko Patera,30.5,18.1,"17, 20, 27i",0.09023025,0.09023025,0.066315351,0.038988628,"NIMS, Cantrall2018",
JRM009,PV189,18.9,20.7,"17, 20, 27i, 41",0.12716354,0.12716354,0.083868443,0.012961927,,
JRM010,Uta Patera,-35.8,22.4,"5, 9, 10, 11, 18, 25o, 26, 27i, 27o, 32o, 35, 37o",19.52846998,18.70007497,17.76722968,3.940507481,"NIMS, Cantrall2018",
JRM011,,23.8,23.2,17,0.186747485,0.186747485,0.186747485,0.186747485,NIMS?,
JRM012,,4.6,23.4,"5, 17, 20, 27i, 41",0.260702747,0.260702747,0.111071139,0.031187564,"NIMS, Cantrall2018",
JRM013,,-18.1,24,"18, 20, 25o, 26, 27i, 32o, 35, 37o, 41",11.46228792,9.614859843,5.504983329,0.769910635,NIMS?,
JRM014,,41.4,24.6,"17, 20, 25i, 27i",0.166503678,0.166503678,0.06599667,0.022559377,,
JRM015,,51.3,26.5,"17, 27i, 41",0.040147255,0.040147255,0.036059385,0.012079939,,
JRM016,,20.9,28.6,"17, 20, 26, 27i, 41",1.979926707,1.979926707,0.395118944,0.06380916,,
JRM264,,69,29.3,43,0.056297509,0.056297509,0.056297509,0.056297509,,Close to JRM017
JRM018,Hatchawa Patera,-59.5,31.4,"5, 35",0.172586803,0.172586803,0.132628068,0.092669333,,
