source_id,name,longitude,latitude,observation_time,wavelength_um,spectral_radiance,spectral_radiance_unit,source
001_g1i003tr_S10_S11_L3_n_converted_spectra_Hi-iaka_Patera_v01,Hi-iaka Patera GP16,79.80000000079997,-3.10000000009,1996-06-28T17:19:21.00Z,0.9924,71.9607,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/001_g1i003tr_S10_S11_L3_n_converted_spectra_Hi-iaka_Patera_v01.csv
002_g1i003tr_S9_S10_L5_n_converted_spectra_Sigurd_Patera_v01,Sigurd Patera GP20,97.40000000060002,-5.9000000003,1996-06-28T17:19:21.00Z,0.9403,87.7744,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/002_g1i003tr_S9_S10_L5_n_converted_spectra_Sigurd_Patera_v01.csv
003_g1i003tr_S12_S13_L5_n_converted_spectra_Gish_Bar_Patera_v01,Gish Bar Patera GP22,89.09999999950003,15.599999999,1996-06-28T17:19:21.00Z,0.9403,24.6983,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/003_g1i003tr_S12_S13_L5_n_converted_spectra_Gish_Bar_Patera_v01.csv
004_g1i003tr_S13_S14_L5_n_converted_spectra_Zal_Patera_v01,Zal Patera GP15,74.8999999971,40.5000000023,1996-06-28T17:19:21.00Z,0.9403,61.5036,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/004_g1i003tr_S13_S14_L5_n_converted_spectra_Zal_Patera_v01.csv
005_g1i003tr_S12_S13_L7_n_converted_spectra_Monan_Patera_v01,Monan Patera GP23,103.79999999699999,20.3000000036,1996-06-28T17:19:21.00Z,0.9403,20.4257,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/005_g1i003tr_S12_S13_L7_n_converted_spectra_Monan_Patera_v01.csv
006_g1i003tr_S12_S13_L9_n_converted_spectra_Amirani_v01,Amirani GP9,116.300000001,23.1999999989,1996-06-28T17:19:21.00Z,0.9729,26.1578,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/006_g1i003tr_S12_S13_L9_n_converted_spectra_Amirani_v01.csv
007_g1i003tr_S7_S8_L10_n_converted_spectra_Malik_Patera_v01,Malik Patera GP20,128.999999999,-33.9999999998,1996-06-28T17:19:21.00Z,0.9924,23.1201,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/007_g1i003tr_S7_S8_L10_n_converted_spectra_Malik_Patera_v01.csv
008_g1i003tr_S12_S13_L10_n_converted_spectra_Maui_Patera_v01,Maui Patera GP4,123.79999999899997,16.2000000006,1996-06-28T17:19:21.00Z,0.9207,14.3785,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/008_g1i003tr_S12_S13_L10_n_converted_spectra_Maui_Patera_v01.csv
009_g1i003tr_S8_S9_L11_n_converted_spectra_Tupan_Patera_v01,Tupan Patera GP22,140.999999999,-18.9999999967,1996-06-28T17:19:21.00Z,0.9859,23.1354,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/009_g1i003tr_S8_S9_L11_n_converted_spectra_Tupan_Patera_v01.csv
010_g1i003tr_S11_S12_L12_n_converted_spectra_Arinna_Fluctus_v01,Arinna Fluctus GP4,146.999999999,32.0000000022,1996-06-28T17:19:21.00Z,1.4629,49.4247,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/010_g1i003tr_S11_S12_L12_n_converted_spectra_Arinna_Fluctus_v01.csv
011_g1i003tr_S10_S11_L14_n_converted_spectra_Prometheus_v01,Prometheus GP21,153.0,0.500000003048,1996-06-28T17:19:21.00Z,0.9468,86.6692,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/011_g1i003tr_S10_S11_L14_n_converted_spectra_Prometheus_v01.csv
012_g1i003tr_S8_S9_L15_n_converted_spectra_Culann_v01,Culann GP6,161.5,19.9000000011,1996-06-28T17:19:21.00Z,0.8337,33.4063,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/012_g1i003tr_S8_S9_L15_n_converted_spectra_Culann_v01.csv
013_g1i003tr_S11_S12_L16_n_converted_spectra_Zamama_v01,Zamama GP20,174.0,18.0000000011,1996-06-28T17:19:21.00Z,1.0938,52.8863,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/013_g1i003tr_S11_S12_L16_n_converted_spectra_Zamama_v01.csv
014_g1i003tr_S7_S8_L7_n_converted_spectra_Altjirra_v01,Altjirra GP24,108.0,-34.9999999995,1996-06-28T17:19:21.00Z,1.1457,41.7092,PDS converted spectral_radiance,https://pds-atmospheres.nmsu.edu/PDS/data/PDS4/go_nims_io_rad/data_derived/unresolved_night/converted/014_g1i003tr_S7_S8_L7_n_converted_spectra_Altjirra_v01.csv
