source_id,name,longitude,latitude,observation_time,brightness_value,brightness_unit,instrument,source,wavelength_um
dekleer2019-Nusku Patera-20170527-BrAlpha,Nusku Patera,-6.2000000000000455,-65.0,2017-05-27,4.0,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter BrAlpha",4.05
dekleer2019-Uta-20131203-Lp,Uta,-20.100000000000023,-33.8,2013-12-03,2.7,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20140120-PAH,Uta,-20.899999999999977,-34.9,2014-01-20,1.6,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter PAH",3.29
dekleer2019-Uta-20140120-Lp,Uta,-20.899999999999977,-34.9,2014-01-20,3.1,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20140120-Ms,Uta,-20.899999999999977,-34.9,2014-01-20,5.4,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Ms",4.67
dekleer2019-Uta-20140210-Lp,Uta,-23.399999999999977,-34.1,2014-02-10,5.1,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20140210-Ms,Uta,-23.399999999999977,-34.1,2014-02-10,4.6,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Ms",4.67
dekleer2019-Uta-20140307-Lp,Uta,-25.899999999999977,-34.9,2014-03-07,2.2,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20140314-Lp,Uta,-24.799999999999955,-34.7,2014-03-14,3.3,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20141030-Lp,Uta,-21.200000000000045,-33.7,2014-10-30,3.0,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20141030-Ms,Uta,-21.200000000000045,-33.7,2014-10-30,5.8,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Ms",4.67
dekleer2019-Uta-20141129-Lp,Uta,-20.600000000000023,-35.5,2014-11-29,3.2,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20141208-Lp,Uta,-19.100000000000023,-34.1,2014-12-08,3.4,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20141215-Lp,Uta,-19.600000000000023,-34.2,2014-12-15,2.9,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
dekleer2019-Uta-20150112-Lp,Uta,-22.600000000000023,-35.4,2015-01-12,3.2,GW/um/sr filter_integrated_flux_density,Keck/Gemini AO,"de Kleer et al. 2019 AJ Table 5, filter Lp",3.78
