"name","longitude","latitude","power_gw","epoch","instrument","source_id","source","power_is_estimated","basis_column"
"Nusku Patera","-3.9","-63.3","13.249348074","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM001","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM002","-4.4","14.7","14.092453314","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM002","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Mbali Patera","-5.5","-33.6","17.76332727","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM003","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV179","-6.9","-11.9","103.351306392","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM004","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM005","-11.7","12.8","0.957791232","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM005","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Gauwa Patera","-11.9","35.6","33.5566611","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM006","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV187","-12.4","-3.1","1.414681956","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM007","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Ukko Patera","-18.1","30.5","1.6241445","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM008","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"PV189","-20.7","18.9","2.28894372","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM009","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"Uta Patera","-22.4","-35.8","336.60134946","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM010","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM011","-23.2","23.8","3.36145473","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM011","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM012","-23.4","4.6","4.692649446","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM012","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM013","-24","-18.1","173.067477174","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM013","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM014","-24.6","41.4","2.997066204","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM014","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM015","-26.5","51.3","0.72265059","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM015","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM016","-28.6","20.9","35.638680726","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM016","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
"JRM264","-29.3","69","1.013355162","2017-03-27/2022-07-05","Juno JIRAM 4.8um","JRM264","Derived from Davies et al. 2024 Supplementary Table S1 using article-level 4.8um radiance-to-thermal-emission scaling (approx. 18 GW per GW/um).","true","max_unsaturated_spectral_radiance_gw_um"
