Name,Longitude,Latitude,Temperature_K,Source
Ruwa Patera,2.69999999974,0.500000003048,,"USGS SIM3168, Williams et al. 2011"
Nusku Patera,4.90000000054,-64.3999999996,,"USGS SIM3168, Williams et al. 2011"
Mbali Patera,6.80000000053,-31.4000000009,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck S),10.9999999986,-10.9999999986,,"USGS SIM3168, Williams et al. 2011"
Unnamed,13.3000000012,-2.79999999927,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck U),14.0000000001,31.0000000024,,"USGS SIM3168, Williams et al. 2011"
Unnamed,14.0000000001,-11.4999999985,,"USGS SIM3168, Williams et al. 2011"
Karei Patera,15.9999999997,2.00000000047,,"USGS SIM3168, Williams et al. 2011"
Unnamed,18.9999999967,-5.99999999984,,"USGS SIM3168, Williams et al. 2011"
Unnamed,20.9999999985,1.00000000071,,"USGS SIM3168, Williams et al. 2011"
Unnamed,23.0000000002,-0.999999996593,,"USGS SIM3168, Williams et al. 2011"
Unnamed,23.0000000002,4.99999999975,,"USGS SIM3168, Williams et al. 2011"
Uta Patera,24.4999999998,-35.3000000004,,"USGS SIM3168, Williams et al. 2011"
Unnamed,26.9999999992,-8.99999999912,,"USGS SIM3168, Williams et al. 2011"
Unnamed,27.8999999995,-16.4999999995,,"USGS SIM3168, Williams et al. 2011"
(N. Polar),29.9999999985,69.0000000022,,"USGS SIM3168, Williams et al. 2011"
Kanehekili-N&S,37.9999999966,-15.9999999997,,"USGS SIM3168, Williams et al. 2011"
"17.2 S, 35.5 W",33.9999999998,-11.9999999984,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck W),41.0000000003,46.0000000032,,"USGS SIM3168, Williams et al. 2011"
Janus Patera,42.5,-3.00000000055,,"USGS SIM3168, Williams et al. 2011"
Keck (12/2001),33.9999999998,-6.9999999996,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck V),51.0000000002,34.0000000017,,"USGS SIM3168, Williams et al. 2011"
Unnamed,59.0000000005,11.0000000028,,"USGS SIM3168, Williams et al. 2011"
Masubi,60.0000000002,-47.9999999987,,"USGS SIM3168, Williams et al. 2011"
Unnamed,60.0000000002,59.9999999999,,"USGS SIM3168, Williams et al. 2011"
Shamshu,63.5999999989,-9.79999999981,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS C30A, Tejeto)",69.4000000006,-48.8999999989,,"USGS SIM3168, Williams et al. 2011"
Zal Patera,74.8999999971,40.5000000023,,"USGS SIM3168, Williams et al. 2011"
Tawhaki,75.0999999962,3.09999999976,,"USGS SIM3168, Williams et al. 2011"
Unnamed,79.0000000001,37.000000001,,"USGS SIM3168, Williams et al. 2011"
Hi'iaka Patera,79.8000000008,-3.10000000009,,"USGS SIM3168, Williams et al. 2011"
Estan Patera (NIMS I31F and I31M),87.0000000004,21.0000000004,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32J),87.5000000003,-18.5999999964,,"USGS SIM3168, Williams et al. 2011"
Ekhi,87.5999999998,-28.2999999998,,"USGS SIM3168, Williams et al. 2011"
Gish Bar Patera,89.0999999995,15.599999999,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I31E, Aluna Patera)",90.6999999986,43.8999999998,,"USGS SIM3168, Williams et al. 2011"
Unnamed,91.8999999997,37.300000004,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32K),96.6999999994,5.80000000044,,"USGS SIM3168, Williams et al. 2011"
Sigurd Patera,97.4000000006,-5.9000000003,,"USGS SIM3168, Williams et al. 2011"
Itzamna,97.6999999992,-15.199999999,,"USGS SIM3168, Williams et al. 2011"
Arusha Patera,100.699999998,-38.9999999986,,"USGS SIM3168, Williams et al. 2011"
Catha Patera,100.9,-53.5999999991,,"USGS SIM3168, Williams et al. 2011"
Monan Patera,103.799999997,20.3000000036,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Ah Peku Patera),108.0,10.8000000037,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I31D),106.0,20.0000000006,,"USGS SIM3168, Williams et al. 2011"
Altjirra Patera,108.0,-34.9999999995,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32G),108.099999999,-47.0999999962,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32F),108.300000001,-69.0999999998,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS C30B),109.0,23.9999999996,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32M),118.599999999,40.0000000002,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I27E, NW of Amirani)",115.900000001,31.0000000024,,"USGS SIM3168, Williams et al. 2011"
Amirani,116.300000001,23.1999999989,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I31J, in Tvashtar Catena)",117.9,59.5000000022,,"USGS SIM3168, Williams et al. 2011"
Dusurra,118.5,37.1000000005,,"USGS SIM3168, Williams et al. 2011"
Emakong,119.999999999,-3.00000000055,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I31L, NE Tvashtar  Catena",125.0,67.0000000027,,"USGS SIM3168, Williams et al. 2011"
Tvashtar Catena (Lava fountain site),122.999999998,61.5000000018,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I31K, in Tvashtar Catena)",120.4,60.500000002,,"USGS SIM3168, Williams et al. 2011"
Maui Patera,123.799999999,16.2000000006,,"USGS SIM3168, Williams et al. 2011"
Tvashtar Catena (Flow site),126.0,64.8000000041,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I31H),127.999999999,-10.9999999986,,"USGS SIM3168, Williams et al. 2011"
Malik Patera,128.999999999,-33.9999999998,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I27B, Maju Patera)",131.099999998,19.5000000029,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I31A, Thor)",135.0,39.0000000005,,"USGS SIM3168, Williams et al. 2011"
Yaw Patera (NIMS Camaxtli C),131.999999999,9.30000000183,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (S Seth Patera, NIMS I25B)",131.999999999,-5.00000000008,,"USGS SIM3168, Williams et al. 2011"
Tien Mu Patera (NIMS Camaxtli east),133.900000001,12.0000000025,,"USGS SIM3168, Williams et al. 2011"
Camaxtli Patera,136.4,15.0000000018,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I31B),137.199999999,35.2000000005,,"USGS SIM3168, Williams et al. 2011"
Ruaumoko Patera (NIMS Camaxtli West),139.3,14.4999999997,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (Chors Fluctus, NIMS I32H)",139.999999997,-44.9999999994,,"USGS SIM3168, Williams et al. 2011"
Tupan Patera,140.999999999,-18.9999999967,,"USGS SIM3168, Williams et al. 2011"
Unnamed (N. Polar),144.0,66.0000000029,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (NIMS I24A, near Surya)",145.599999999,22.0000000001,,"USGS SIM3168, Williams et al. 2011"
Cuchi Patera (NIMS I25A),145.800000001,0.60000000258,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32C Thor Fluctus),146.999999999,-25.9999999995,,"USGS SIM3168, Williams et al. 2011"
Arinna Fluctus,146.999999999,32.0000000022,,"USGS SIM3168, Williams et al. 2011"
"Unnamed (I31I), possibly Chor Fluctus",140.999999999,-44.9999999994,,"USGS SIM3168, Williams et al. 2011"
Sobo Fluctus (NIMS I24B),149.999999999,14.000000002,,"USGS SIM3168, Williams et al. 2011"
Surya (NIMS I27A),150.899999999,21.3000000034,,"USGS SIM3168, Williams et al. 2011"
Shamash Patera,152.0,-34.9999999995,,"USGS SIM3168, Williams et al. 2011"
"36+ or -1 S, 151+ or -1 W",150.999999998,-35.9999999993,,"USGS SIM3168, Williams et al. 2011"
Prometheus Patera,153.0,0.500000003048,,"USGS SIM3168, Williams et al. 2011"
Chaac,157.199999996,11.8000000034,,"USGS SIM3168, Williams et al. 2011"
Radegast Patera,159.199999998,-26.8999999997,,"USGS SIM3168, Williams et al. 2011"
Culann Patera,161.5,19.9000000011,,"USGS SIM3168, Williams et al. 2011"
Tsui Goab Fluctus (NIMS I27D),163.300000001,3.16686055157e-09,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32E),168.599999998,-65.899999997,,"USGS SIM3168, Williams et al. 2011"
Michabo Patera (NIMS I31G),168.799999997,3.00000000023,,"USGS SIM3168, Williams et al. 2011"
Zamama,174.0,18.0000000011,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32D),174.999999999,-42.0000000001,,"USGS SIM3168, Williams et al. 2011"
Aidne Patera,177.999999999,-1.99999999857,,"USGS SIM3168, Williams et al. 2011"
Volund,184.3,24.9999999994,,"USGS SIM3168, Williams et al. 2011"
Donar Fluctus,186.2,24.3000000027,,"USGS SIM3168, Williams et al. 2011"
Haokah,187.000000001,-20.6999999976,,"USGS SIM3168, Williams et al. 2011"
Unnamed,191.999999999,28.1000000027,,"USGS SIM3168, Williams et al. 2011"
Unnamed,198.999999998,32.0000000022,,"USGS SIM3168, Williams et al. 2011"
Fo Patera,192.599999997,40.9000000005,,"USGS SIM3168, Williams et al. 2011"
Sethlaus Patera,193.999999999,-51.9999999999,,"USGS SIM3168, Williams et al. 2011"
Rata Patera,199.199999997,-35.1999999986,,"USGS SIM3168, Williams et al. 2011"
Gabija,202.999999997,-51.9999999999,,"USGS SIM3168, Williams et al. 2011"
Lei-Kung Fluctus,204.000000001,38.0000000007,,"USGS SIM3168, Williams et al. 2011"
Unnamed,206.0,-54.9999999992,,"USGS SIM3168, Williams et al. 2011"
Isum Patera-N&S,209.0,28.0000000031,,"USGS SIM3168, Williams et al. 2011"
Marduk,209.9,-28.3999999971,,"USGS SIM3168, Williams et al. 2011"
Unnamed,214.999999998,65.0000000031,,"USGS SIM3168, Williams et al. 2011"
Ot,216.999999998,-0.899999997061,,"USGS SIM3168, Williams et al. 2011"
Unnamed,217.300000001,-10.0999999962,,"USGS SIM3168, Williams et al. 2011"
Mulungu Patera,217.5,17.2000000004,,"USGS SIM3168, Williams et al. 2011"
Kurdalagon Patera,218.4,-50.0000000004,,"USGS SIM3168, Williams et al. 2011"
Susanoo,219.3,22.3000000032,,"USGS SIM3168, Williams et al. 2011"
Unnamed (NIMS I32A),222.000000001,31.0000000024,,"USGS SIM3168, Williams et al. 2011"
Unnamed,223.998615894,-23.9971715158,,"USGS SIM3168, Williams et al. 2011"
Wayland Patera,225.499999998,-32.1999999993,,"USGS SIM3168, Williams et al. 2011"
Unnamed,232.999999998,-4.00000000032,,"USGS SIM3168, Williams et al. 2011"
Unnamed,232.999999998,-27.9999999968,,"USGS SIM3168, Williams et al. 2011"
Reiden Patera,235.999999998,-13.0000000004,,"USGS SIM3168, Williams et al. 2011"
Unnamed,235.999999998,-48.9999999984,,"USGS SIM3168, Williams et al. 2011"
Girru,239.999999997,22.0000000001,,"USGS SIM3168, Williams et al. 2011"
Llew,242.299999999,12.2000000016,,"USGS SIM3168, Williams et al. 2011"
Unnamed,242.499999998,-35.599999999,,"USGS SIM3168, Williams et al. 2011"
Pillan Patera,244.0,-11.9999999984,,"USGS SIM3168, Williams et al. 2011"
Chors Patera,249.899999999,68.5000000001,,"USGS SIM3168, Williams et al. 2011"
Pyerun Patera,251.099999998,-55.3999999995,,"USGS SIM3168, Williams et al. 2011"
Pele,255.699999999,-18.3999999995,,"USGS SIM3168, Williams et al. 2011"
Unnamed,261.000000001,37.000000001,,"USGS SIM3168, Williams et al. 2011"
Unnamed,264.0,53.0000000016,,"USGS SIM3168, Williams et al. 2011"
Svarog Patera,265.499999997,-47.9999999987,,"USGS SIM3168, Williams et al. 2011"
Shakuru Patera,265.699999996,24.0999999992,,"USGS SIM3168, Williams et al. 2011"
Mithra Patera,266.699999996,-58.6000000001,,"USGS SIM3168, Williams et al. 2011"
Babbar Patera,271.799999999,-39.3999999989,,"USGS SIM3168, Williams et al. 2011"
Daedalus Patera,274.999999997,19.0000000008,,"USGS SIM3168, Williams et al. 2011"
Unnamed,276.999999997,-6.9999999996,,"USGS SIM3168, Williams et al. 2011"
Unnamed,278.000000001,-13.0000000004,,"USGS SIM3168, Williams et al. 2011"
Atar Patera,278.599999998,31.1000000019,,"USGS SIM3168, Williams et al. 2011"
Unnamed,278.599999998,49.9000000028,,"USGS SIM3168, Williams et al. 2011"
Viracocha Patera,281.0,-61.4000000003,,"USGS SIM3168, Williams et al. 2011"
Ulgen Patera,287.7,-40.4000000009,,"USGS SIM3168, Williams et al. 2011"
Hephaestus Patera,290.099999998,1.90000000094,,"USGS SIM3168, Williams et al. 2011"
Lerna Regio,291.899999998,-62.3000000006,,"USGS SIM3168, Williams et al. 2011"
Vivasvant Patera,293.999999997,75.1000000003,,"USGS SIM3168, Williams et al. 2011"
Gibil Patera,294.599999999,-14.9999999999,,"USGS SIM3168, Williams et al. 2011"
Dazhbog Patera,301.499999998,55.1000000006,,"USGS SIM3168, Williams et al. 2011"
Rarog,304.899999999,-41.4000000007,,"USGS SIM3168, Williams et al. 2011"
Sengen Patera,303.999999999,-32.5000000001,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck M),304.999999999,-61.0,,"USGS SIM3168, Williams et al. 2011"
Mihr Patera,305.500000001,-16.4999999995,,"USGS SIM3168, Williams et al. 2011"
Amaterasu Patera,306.199999998,36.2999999998,,"USGS SIM3168, Williams et al. 2011"
Loki Patera,308.799999999,12.6999999992,,"USGS SIM3168, Williams et al. 2011"
Aten Patera,310.5,-48.1999999977,,"USGS SIM3168, Williams et al. 2011"
Kinich Ahau,310.999999997,50.4000000004,,"USGS SIM3168, Williams et al. 2011"
Heno Patera,311.5,-57.0999999983,,"USGS SIM3168, Williams et al. 2011"
Mazda Catena,314.900000001,-9.39999999947,,"USGS SIM3168, Williams et al. 2011"
Argos Planum,317.800000001,-47.9999999987,,"USGS SIM3168, Williams et al. 2011"
Nemea,320.0,-78.0000000003,,"USGS SIM3168, Williams et al. 2011"
Manua Patera,321.599999997,35.2000000005,,"USGS SIM3168, Williams et al. 2011"
Tol-Ava Patera,322.099999999,1.8000000014,,"USGS SIM3168, Williams et al. 2011"
Ra Patera,325.199999998,-8.30000000017,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck L),325.999999998,34.0000000017,,"USGS SIM3168, Williams et al. 2011"
Unnamed,326.300000001,-45.5999999988,,"USGS SIM3168, Williams et al. 2011"
Fuchi Patera,327.699999999,28.3000000017,,"USGS SIM3168, Williams et al. 2011"
Huo Shen Patera,329.999999997,-14.9999999999,,"USGS SIM3168, Williams et al. 2011"
Unamed,331.999999997,16.5999999987,,"USGS SIM3168, Williams et al. 2011"
Acala Fluctus,336.0,11.0000000028,,"USGS SIM3168, Williams et al. 2011"
Surt,337.1,44.8999999995,,"USGS SIM3168, Williams et al. 2011"
Creidne Patera,343.199999998,-52.4000000003,,"USGS SIM3168, Williams et al. 2011"
Unnamed,350.4,3.09999999976,,"USGS SIM3168, Williams et al. 2011"
Tiermes Patera,350.4,22.1999999992,,"USGS SIM3168, Williams et al. 2011"
Euboea Fluctus,352.000000001,-44.9999999994,,"USGS SIM3168, Williams et al. 2011"
Unnamed (Keck R),356.499999998,-10.5999999983,,"USGS SIM3168, Williams et al. 2011"
Unnamed,356.1,4.80000000069,,"USGS SIM3168, Williams et al. 2011"
Fjorgynn Fluctus,358.0,12.0000000025,,"USGS SIM3168, Williams et al. 2011"
