"urn","start_date_time","stop_date_time","file_name","target_name","orbit_number","spatial_resolution_km_pixel","exposure_duration_sec","instrument_mode_id","line","line_samples","solar_planetocentric_latitude_deg","solar_planetocentric_longitude_deg","io_planetocentric_longitude_deg","io_planetocentric_latitude_deg","sub_point_radius_km","observer_distance_km","incidence_angle_deg","emission_angle_deg","phase_angle_deg","local_true_solar_time","file_size_mb"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083517_v01","2023-12-30T08:35:15.302Z","2023-12-30T08:35:15.304Z","JIR_IMG_RDR_2023364T083517_V01.LBL","IO","57","0.421","0.002","SCI_I1_S3","256","432","118.526","3.070","-115.670","44.557","1818.519","1769.903","112.466","0.000","112.466","20:24:16","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083548_v01","2023-12-30T08:35:46.301Z","2023-12-30T08:35:46.303Z","JIR_IMG_RDR_2023364T083548_V01.LBL","IO","57","0.364","0.002","SCI_I1_S3","256","432","118.452","3.070","-104.058","57.673","1816.922","1528.839","110.441","0.000","110.441","21:11:00","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2023364t083550_v01","2023-12-30T08:35:46.301Z","2023-12-30T08:35:47.301Z","JIR_SPE_RDR_2023364T083550_V01.LBL","IO","57","","1","","","","118.452","3.070","-104.058","57.673","1816.922","1528.839","110.441","0.000","110.441","21:11:00","0.035"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083619_v01","2023-12-30T08:36:17.301Z","2023-12-30T08:36:17.303Z","JIR_IMG_RDR_2023364T083619_V01.LBL","IO","57","0.366","0.002","SCI_I1_S3","256","432","118.379","3.070","-78.350","69.196","1816.216","1537.555","106.746","0.000","106.746","22:54:08","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2023364t083621_v01","2023-12-30T08:36:17.301Z","2023-12-30T08:36:18.301Z","JIR_SPE_RDR_2023364T083621_V01.LBL","IO","57","","1","","","","118.379","3.070","-78.350","69.196","1816.216","1537.555","106.746","0.000","106.746","22:54:08","0.035"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083650_v01","2023-12-30T08:36:48.300Z","2023-12-30T08:36:48.302Z","JIR_IMG_RDR_2023364T083650_V01.LBL","IO","57","0.427","0.002","SCI_I1_S3","256","432","118.305","3.070","-33.119","72.339","1816.677","1794.108","102.232","0.000","102.232","01:55:21","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2023364t083652_v01","2023-12-30T08:36:48.300Z","2023-12-30T08:36:49.300Z","JIR_SPE_RDR_2023364T083652_V01.LBL","IO","57","","1","","","","118.305","3.070","-33.119","72.339","1816.677","1794.108","102.232","0.000","102.232","01:55:21","0.035"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083721_v01","2023-12-30T08:37:19.300Z","2023-12-30T08:37:19.302Z","JIR_IMG_RDR_2023364T083721_V01.LBL","IO","57","0.535","0.002","SCI_I1_S3","256","432","118.232","3.070","-1.156","66.908","1817.787","2252.095","97.966","0.000","97.966","04:03:29","0.434"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_spe_rdr_2023364t083723_v01","2023-12-30T08:37:19.300Z","2023-12-30T08:37:20.300Z","JIR_SPE_RDR_2023364T083723_V01.LBL","IO","57","","1","","","","118.232","3.070","-1.156","66.908","1817.787","2252.095","97.966","0.000","97.966","04:03:29","0.035"
"urn:nasa:pds:juno_jiram:data_calibrated:jir_img_rdr_2023364t083752_v01","2023-12-30T08:37:50.300Z","2023-12-30T08:37:50.302Z","JIR_IMG_RDR_2023364T083752_V01.LBL","IO","57","0.678","0.002","SCI_I1_S3","256","432","118.158","3.070","13.153","59.988","1818.970","2852.851","94.458","0.000","94.458","05:01:01","0.434"
