source_id,name,longitude,latitude,orbit,observation_time,power_gw,instrument,source,wavelength_um,intensity_value,intensity_unit
Mura2024-88-49M,Shamash Patera,-154.0,-32.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.61,W m-2 sr-1 peak_radiance
Mura2024-88-49L,Shamash Patera,-154.0,-32.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.16,W m-2 sr-1 peak_radiance
Mura2024-89-49M,close to Tupan Patera,-137.0,-23.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.52,W m-2 sr-1 peak_radiance
Mura2024-89-49L,close to Tupan Patera,-137.0,-23.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.13,W m-2 sr-1 peak_radiance
Mura2024-91-49M,close to Tohil Patera,-158.0,-23.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.06,W m-2 sr-1 peak_radiance
Mura2024-91-49L,close to Tohil Patera,-158.0,-23.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.04,W m-2 sr-1 peak_radiance
Mura2024-87-49M,Culann Patera,-161.0,-20.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.27,W m-2 sr-1 peak_radiance
Mura2024-87-49L,Culann Patera,-161.0,-20.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.06,W m-2 sr-1 peak_radiance
Mura2024-77-43M,Prometheus A,-151.0,-3.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.39,W m-2 sr-1 peak_radiance
Mura2024-77-43L,Prometheus A,-151.0,-3.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.37,W m-2 sr-1 peak_radiance
Mura2024-77-49M,Prometheus A,-151.0,-3.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.76,W m-2 sr-1 peak_radiance
Mura2024-77-49L,Prometheus A,-151.0,-3.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.23,W m-2 sr-1 peak_radiance
Mura2024-84-43M,Prometheus B,-154.0,-2.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.1,W m-2 sr-1 peak_radiance
Mura2024-84-49M,Prometheus B,-154.0,-2.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.15,W m-2 sr-1 peak_radiance
Mura2024-84-49L,Prometheus B,-154.0,-2.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.04,W m-2 sr-1 peak_radiance
Mura2024-93-43M,Ot Patera,144.0,-1.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.11,W m-2 sr-1 peak_radiance
Mura2024-93-49M,Ot Patera,144.0,-1.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.11,W m-2 sr-1 peak_radiance
Mura2024-23-41M,Tawhaki Patera,-75.0,4.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.32,W m-2 sr-1 peak_radiance
Mura2024-23-41L,Tawhaki Patera,-75.0,4.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.29,W m-2 sr-1 peak_radiance
Mura2024-23-47M,Tawhaki Patera,-75.0,4.0,47,2022-12-15,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.39,W m-2 sr-1 peak_radiance
Mura2024-3-47L,Loki Patera,50.0,9.0,47,2022-12-15,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,6.79,W m-2 sr-1 peak_radiance
Mura2024-48-41M,Ah Peku Patera,-105.0,10.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.08,W m-2 sr-1 peak_radiance
Mura2024-48-41L,Ah Peku Patera,-105.0,10.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.06,W m-2 sr-1 peak_radiance
Mura2024-48-43M,Ah Peku Patera,-105.0,10.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.03,W m-2 sr-1 peak_radiance
Mura2024-48-47M,Ah Peku Patera,-105.0,10.0,47,2022-12-15,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.14,W m-2 sr-1 peak_radiance
Mura2024-48-49M,Ah Peku Patera,-105.0,10.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.04,W m-2 sr-1 peak_radiance
Mura2024-7-41M,Kotar Patera,-61.0,11.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.4,W m-2 sr-1 peak_radiance
Mura2024-7-41L,Kotar Patera,-61.0,11.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.29,W m-2 sr-1 peak_radiance
Mura2024-7-47M,Kotar Patera,-61.0,11.0,47,2022-12-15,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.17,W m-2 sr-1 peak_radiance
Mura2024-7-47L,Kotar Patera,-61.0,11.0,47,2022-12-15,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.19,W m-2 sr-1 peak_radiance
Mura2024-78-43M,P13,-1.0,1.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.13,W m-2 sr-1 peak_radiance
Mura2024-78-49M,P13,-1.0,1.0,49,2023-03-01,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.08,W m-2 sr-1 peak_radiance
Mura2024-32-41M,Gish Bar Patera,-89.0,16.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.11,W m-2 sr-1 peak_radiance
Mura2024-32-41L,Gish Bar Patera,-89.0,16.0,41,2022-04-09,,JIRAM,Mura et al. 2024 Table 2 peak radiance,3.45,0.05,W m-2 sr-1 peak_radiance
Mura2024-32-43M,Gish Bar Patera,-89.0,16.0,43,2022-07-05,,JIRAM,Mura et al. 2024 Table 2 peak radiance,4.78,0.1,W m-2 sr-1 peak_radiance
